neighborhood,price,city
StuyTown,"$1,200",roomi nyc
East Williamsburg,"$2,100",roomi nyc
Upper Manhattan,"$1,500",roomi nyc
Lower Manhattan,"$1,170",roomi nyc
Bedford-Stuyvesant,"$1,000",roomi nyc
Lincoln Square,"$1,000",roomi nyc
Mariners Harbor,"$2,280",roomi nyc
Upper Manhattan,"$1,400",roomi nyc
StuyTown,"$1,100",roomi nyc
Williamsburg,"$1,650",roomi nyc
Upper Manhattan,"$1,200",roomi nyc
Yorkville,$894,roomi nyc
Clinton Hill,"$1,500",roomi nyc
Crown Heights,"$1,300",roomi nyc
Kips Bay,$850,roomi nyc
Downtown Brooklyn,"$1,100",roomi nyc
Washington Heights,"$1,600",roomi nyc
Crown Heights,$700,roomi nyc
Bushwick,"$1,599",roomi nyc
Long Island City,$800,roomi nyc
Long Island City,"$1,350",roomi nyc
Upper Manhattan,$900,roomi nyc
Midtown,"$1,650",roomi nyc
Long Island City,"$1,400",roomi nyc
Long Island City,"$1,100",roomi nyc
Crown Heights,"$1,625",roomi nyc
Williamsburg,"$1,000",roomi nyc
Upper Manhattan,"$1,375",roomi nyc
Upper East Side,"$1,000",roomi nyc
Bedford-Stuyvesant,$925,roomi nyc
Greenpoint,$900,roomi nyc
West Bronx,"$1,650",roomi nyc
Bushwick,"$1,350",roomi nyc
Lower Manhattan,"$1,070",roomi nyc
Midtown,"$1,600",roomi nyc
Crown Heights,"$1,550",roomi nyc
Upper Manhattan,"$1,250",roomi nyc
East Harlem,"$1,802",roomi nyc
Bushwick,$975,roomi nyc
StuyTown,"$1,000",roomi nyc
Upper East Side,"$1,010",roomi nyc
Hudson Heights,"$1,330",roomi nyc
Long Island City,"$1,400",roomi nyc
Upper East Side,"$1,100",roomi nyc
Bedford-Stuyvesant,"$1,225",roomi nyc
StuyTown,"$4,500",roomi nyc
Upper Manhattan,"$1,100",roomi nyc
Upper Manhattan,$900,roomi nyc
UWS,"$1,330",roomi nyc
Upper Manhattan,"$1,000",roomi nyc
Upper Manhattan,$850,roomi nyc
